english,pos,twi
remember,VERB,kae 
appreciate,VERB,ani sɔ 
understand,VERB,te aseɛ 
hate,VERB,tan 
believe,VERB,gye di 
aeroplane,NOUN,wiemhyɛn
aircraft,NOUN,wiemhyɛn
have,VERB,wɔ 
like,VERB,pɛ 
know,VERB,nim 
resemble,VERB,sɛ 
need,VERB,hia 
eat,VERB,di 
band,NOUN,agofomma 
call,VERB,frɛ 
sleep,VERB,da 
bath,VERB,dware 
take,VERB,gye 
agree,VERB,yɛ adwene 
is,VERB,yɛ 
they,3RD PERSON PLURAL SUBJECT PRONOUN,wɔn 
your,2ND PERSON SINGULAR POSSESSIVE ADJECTIVE,wo 
peel,VERB,sensene 
lick,VERB,tafere 
bite,VERB,ka 
we,1ST PERSON PLURAL SUBJECT PRONOUN,yɛn 
us,1ST PERSON PLURAL OBJECT PRONOUN,yɛn
them,3RD PERSON PLURAL SUBJECT PRONOUN,wɔn
my,1ST PERSON SINGULAR POSSESSIVE ADJECTIVE,me 
read,VERB,kan 
plant,VERB,dua 
his,3RD PERSON POSSESSIVE ADJECTIVE (male),ne
cry,VERB,su 
hers,3RD PERSON POSSESSIVE PRONOUN (female),ne dea
think,VERB,dwene 
teach,VERB,kyerɛ 
show,VERB,kyerɛ 
our,1ST PERSON PLURAL POSSESSIVE ADJECTIVE,yɛn 
their,3RD PERSON PLURAL POSSESSIVE ADJECTIVE,wɔn
fight,VERB,ko 
ours,1ST PERSON PLURAL POSSESSIVE ADJECTIVE,yɛn dea
go,VERB,kɔ 
fry,VERB,kye 
buy,VERB,tɔ 
cut,VERB,twa 
open,VERB,bue 
carry,VERB,so; soa 
climb,VERB,foro 
walk,VERB,nante 
theirs,3RD PERSON PLURAL POSSESSIVE PRONOUN,wɔn dea
yours,2ND PERSON PLURAL POSSESSIVE PRONOUN,mo dea
triangle,NOUN,ahinasa
star,NOUN,nsoromma 
come,VERB,ba 
diamond,NOUN,dɛnkyɛmmoɔ; ahemmoɔ 
moon,NOUN,ɔsrane
sell,VERB,tɔn 
pentagon,NOUN,ahinnum
hexagon,NOUN,ahinnsia
parallelogram,NOUN,nsanehina
it,3RD PERSON NEUTRAL SUBJECT PRONOUN,ɛno 
half-moon,NOUN,ɔsramfa 
arrow,NOUN,akyerɛkyerɛkwan 
i,SUBJECT PRONOUN,me 
you,1ST PERSON SINGULAR SUBJECT PRONOUN,wo 
he,3RD PERSON SINGULAR SUBJECT PRONOUN (male),ɔno 
she,3RD PERSON SINGULAR SUBJECT PRONOUN,ɔno 
him,3RD PERSON SINGULAR OBJECT PRONOUN (male),no 
her,3RD PERSON SINGULAR OBJECT PRONOUN (female),no 
ejaculate,NOUN,ahobaa
toilet,NOUN,agyanan 
sperm,NOUN,nkwaboa 
toilet-2,NOUN,tiafi
nail,NOUN,dadewa 
padlock,NOUN,krado
key,NOUN,safoa 
hoe,NOUN,asɔ
ladder,NOUN,atwedeɛ
pickaxe,NOUN,fatuo dadeɛ 
shovel,NOUN,sofi 
dustpan,NOUN,asesawura
rope,NOUN,ahoma 
box,NOUN,adaka 
mill,NOUN,nikanika 
saw,NOUN,asradaa
wood,NOUN,dua 
circle,NOUN,kanko
sewing-machine,NOUN,adepam afidie 
washing-machine,NOUN,nnoɔmasie afidie 
calculator,NOUN,nkotabuo afidie
telephone,NOUN,ahomatorofoɔ
paper,NOUN,krataa
metal,NOUN,dadeɛ 
plank,NOUN,taaboo 
stone,NOUN,ɛboɔ; boɔ 
saliva,NOUN,ntasuo
wall,NOUN,fasuo
tear,VERB,te; te mu 
fart,NOUN,ɛta
blood-2,NOUN,mogya
chamber-pot,NOUN,kuruwaba
pencil,NOUN,pɛnsere 
fence,NOUN,ɛban; ban
axe,NOUN,akuma
match,NOUN,burogya 
needle,NOUN,paneɛ 
pen,NOUN,twerɛdua 
scissors,NOUN,apasoɔ
glass,NOUN,tɔmmɛ
duster,NOUN,daseta 
butter,NOUN,bɔta 
swan,NOUN,dabodabo
silver,NOUN,dwetɛ 
festival,NOUN,afahyɛ; ɛfa
store,NOUN,sotɔɔ
cigarette,NOUN,sigarɛte 
offspring,NOUN,ba 
beat,VERB,bo; boro 
here,ADVERB,ɛha; ha
